name,position,nationality,age,height,weight,club,club_nationality,club-league
ryan-bennett,Defender,england,29,188,70,Wolverhampton,england,premier-league
bruno-jordao,Midtfielder,portugal,21,180,73,Wolverhampton,england,premier-league
pedro-neto,Midtfielder,portugal,19,172,62,Wolverhampton,england,premier-league
ruben-neves,Midtfielder,portugal,22,180,80,Wolverhampton,england,premier-league
raul-jimenez,Attacker,mexico,28,188,79,Wolverhampton,england,premier-league
patrick-cutrone,Attacker,italien,21,184,78,Wolverhampton,england,premier-league
rui-patricio,Goalkeeper,portugal,31,189,84,Wolverhampton,england,premier-league
harry-burgoyne,Goalkeeper,england,22,193,85,Wolverhampton,england,premier-league
willy-boly,Defender,frankrig,28,191,81,Wolverhampton,england,premier-league
conor-coady,Defender,england,26,185,75,Wolverhampton,england,premier-league
morgan-gibbs-white,Midtfielder,england,19,171,70,Wolverhampton,england,premier-league
diogo-jota,Midtfielder,portugal,22,178,70,Wolverhampton,england,premier-league
jonny,Defender,spanien,25,175,70,Wolverhampton,england,premier-league
john-ruddy,Goalkeeper,england,33,193,97,Wolverhampton,england,premier-league
dion-sanderson,Defender,england,19,-,-,Wolverhampton,england,premier-league
roderick-miranda,Defender,portugal,28,193,85,Wolverhampton,england,premier-league
taylor-perry,Midtfielder,england,18,-,-,Wolverhampton,england,premier-league
romain-saiss,Midtfielder,marokko,29,190,76,Wolverhampton,england,premier-league
joao-moutinho,Midtfielder,portugal,33,170,61,Wolverhampton,england,premier-league
ruben-vinagre,Defender,portugal,20,174,64,Wolverhampton,england,premier-league
leander-dendoncker,Midtfielder,belgien,24,188,76,Wolverhampton,england,premier-league
leo-bonatini,Attacker,brasilien,25,185,80,Wolverhampton,england,premier-league
luke-cundle,Midtfielder,brasilien,25,185,80,Wolverhampton,england,premier-league
edwards-francis,Defender,england,20,-,-,Wolverhampton,england,premier-league
christian-marques,Defender,portugal,16,-,-,Wolverhampton,england,premier-league
adama-traore,Attacker,spanien,23,178,72,Wolverhampton,england,premier-league
connor-johnson,Defender,england,21,188,78,Wolverhampton,england,premier-league
max-kilman,Defender,england,22,-,-,Wolverhampton,england,premier-league
nathaniel-wan,Midtfielder,england,19,-,-,Wolverhampton,england,premier-league
benny-ashley-seal,Attacker,england,20,-,-,Wolverhampton,england,premier-league
andreas-soendergaard,Goalkeeper,danmark,18,-,-,Wolverhampton,england,premier-league
chem-campbell,Midtfielder,wales,16,-,-,Wolverhampton,england,premier-league
will-norris,Goalkeeper,england,26,195,74,Wolverhampton,england,premier-league
mingyang-yang,Midtfielder,schweiz,24,172,63,Wolverhampton,england,premier-league
jordan-graham,Midtfielder,england,24,182,68,Wolverhampton,england,premier-league
connor-ronan,Midtfielder,irland,21,173,70,Wolverhampton,england,premier-league
meritan-shabani,Midtfielder,tyskland,20,185,78,Wolverhampton,england,premier-league
helder-costa,Attacker,portugal,25,178,73,Wolverhampton,england,premier-league
ivan-cavaleiro,Attacker,portugal,26,175,68,Wolverhampton,england,premier-league
rafa-mir,Attacker,spanien,22,189,80,Wolverhampton,england,premier-league
bright-enobakhare,Attacker,nigeria,21,183,79,Wolverhampton,england,premier-league
lukasz-fabianski,Goalkeeper,polen,34,190,83,West-Ham,england,premier-league
winston-reid,Defender,zealand,31,190,87,West-Ham,england,premier-league
aaron-cresswell,Defender,england,29,170,66,West-Ham,england,premier-league
fabian-balbuena,Defender,paraguay,28,190,82,West-Ham,england,premier-league
pablo-zabaleta,Defender,argentina,34,176,74,West-Ham,england,premier-league
andriy-yarmolenko,Attacker,ukraine,30,189,81,West-Ham,england,premier-league
felipe-anderson,Midtfielder,brasilien,26,178,65,West-Ham,england,premier-league
manuel-lanzini,Midtfielder,argentina,26,167,66,West-Ham,england,premier-league
robert-snodgrass,Midtfielder,skotland,32,182,82,West-Ham,england,premier-league
roberto,Goalkeeper,spanien,33,191,94,West-Ham,england,premier-league
carlos-sanchez,Midtfielder,colombia,33,182,82,West-Ham,england,premier-league
mark-noble,Midtfielder,england,32,180,70,West-Ham,england,premier-league
pablo-fornals,Midtfielder,spanien,23,178,67,West-Ham,england,premier-league
jack-wilshere,Midtfielder,england,27,172,68,West-Ham,england,premier-league
goncalo-cardoso,Defender,portugal,19,189,83,West-Ham,england,premier-league
angelo-ogbonna,Defender,italien,31,191,86,West-Ham,england,premier-league
sebastien-haller,Attacker,frankrig,25,187,75,West-Ham,england,premier-league
issa-diop,Defender,frankrig,22,194,90,West-Ham,england,premier-league
ryan-fredericks,Midtfielder,england,27,180,79,West-Ham,england,premier-league
david-martin,Goalkeeper,england,33,186,86,West-Ham,england,premier-league
arthur-masuaku,Defender,congo,25,179,70,West-Ham,england,premier-league
albian-ajeti,Attacker,schweiz,22,183,77,West-Ham,england,premier-league
michail-antonio,Midtfielder,england,29,180,82,West-Ham,england,premier-league
declan-rice,Midtfielder,england,20,185,76,West-Ham,england,premier-league
josh-cullen,Midtfielder,irland,23,178,71,West-Ham,england,premier-league
grady-diangana,Midtfielder,england,21,180,73,West-Ham,england,premier-league
nathan-holland,Midtfielder,england,21,-,-,West-Ham,england,premier-league
conor-coventry,Midtfielder,england,19,175,65,West-Ham,england,premier-league
jordan-hugill,Attacker,england,27,183,64,West-Ham,england,premier-league
nick-pope,Goalkeeper,england,27,191,76,Burnley,england,premier-league
matthew-lowton,Defender,england,30,180,78,Burnley,england,premier-league
charlie-taylor,Defender,england,26,176,70,Burnley,england,premier-league
jack-cork,Midtfielder,england,30,183,69,Burnley,england,premier-league
james-tarkowski,Defender,england,26,185,81,Burnley,england,premier-league
ben-mee,Defender,england,30,180,74,Burnley,england,premier-league
johann-berg-gudmundsson,Midtfielder,island,29,186,79,Burnley,england,premier-league
danny-drinkwater,Midtfielder,england,29,178,70,Burnley,england,premier-league
chris-wood,Attacker,zealand,27,191,94,Burnley,england,premier-league
ashley-barnes,Attacker,england,30,186,77,Burnley,england,premier-league
dwight-mcneil,Attacker,england,19,183,68,Burnley,england,premier-league
robert-brady,Midtfielder,irland,27,176,71,Burnley,england,premier-league
jeff-hendrick,Midtfielder,irland,27,185,79,Burnley,england,premier-league
ben-gibson,Defender,england,26,185,78,Burnley,england,premier-league
bailey-peacock-farrell,Goalkeeper,nordirland,23,188,73,Burnley,england,premier-league
ashley-westwood,Midtfielder,england,29,175,80,Burnley,england,premier-league
jay-rodriguez,Attacker,england,30,185,80,Burnley,england,premier-league
erik-pieters,Defender,holland,31,183,84,Burnley,england,premier-league
aaron-lennon,Midtfielder,england,32,165,62,Burnley,england,premier-league
phil-bardsley,Defender,england,34,180,74,Burnley,england,premier-league
matej-vydra,Attacker,tjekkiet,27,180,74,Burnley,england,premier-league
kevin-long,Defender,irland,29,188,83,Burnley,england,premier-league
adam-legzdins,Goalkeeper,letland,32,190,78,Burnley,england,premier-league
anthony-driscoll-glennon,Defender,england,19,-,-,Burnley,england,premier-league
joe-hart,Goalkeeper,england,32,196,89,Burnley,england,premier-league
ryan-cooney,Midtfielder,england,19,-,-,Burnley,england,premier-league
mark-howarth,Midtfielder,england,20,173,66,Burnley,england,premier-league
nahki-wells,Attacker,bermuda,29,170,69,Burnley,england,premier-league
martin-dubravka,Goalkeeper,slovakiet,30,190,80,Newcastle,england,premier-league
ciaran-clark,Defender,irland,30,185,76,Newcastle,england,premier-league
paul-dummett,Defender,wales,28,183,65,Newcastle,england,premier-league
sung-yueng-ki,Midtfielder,sydkorea,30,189,75,Newcastle,england,premier-league
fabian-schaer,Defender,schweiz,27,188,84,Newcastle,england,premier-league
jamaal-lascelles,Defender,england,25,188,83,Newcastle,england,premier-league
andy-carroll,Attacker,england,30,193,79,Newcastle,england,premier-league
jonjo-shelvey,Midtfielder,england,27,184,78,Newcastle,england,premier-league
joelinton,Attacker,brasilien,23,189,76,Newcastle,england,premier-league
allan-saint-maximin,Attacker,frankrig,22,173,67,Newcastle,england,premier-league
matt-ritchie,Midtfielder,skotland,30,172,71,Newcastle,england,premier-league
dwight-gayle,Attacker,england,29,177,73,Newcastle,england,premier-league
yoshinori-muto,Attacker,japan,27,178,72,Newcastle,england,premier-league
isaac-hayden,Midtfielder,england,24,185,79,Newcastle,england,premier-league
jetro-willems,Defender,holland,25,170,62,Newcastle,england,premier-league
rolando-aarons,Midtfielder,england,23,178,67,Newcastle,england,premier-league
emil-krafth,Defender,sverige,25,181,79,Newcastle,england,premier-league
federico-fernandez,Defender,argentina,30,190,83,Newcastle,england,premier-league
javier-manquillo,Defender,spanien,25,178,62,Newcastle,england,premier-league
florian-lejeune,Defender,frankrig,28,189,81,Newcastle,england,premier-league
robert-elliot,Goalkeeper,irland,33,190,98,Newcastle,england,premier-league
deandre-yedlin,Defender,usa,26,172,73,Newcastle,england,premier-league
jack-colback,Midtfielder,england,30,176,72,Newcastle,england,premier-league
miguel-almiron,Midtfielder,paraguay,25,174,70,Newcastle,england,premier-league
jamie-sterry,Defender,england,23,180,76,Newcastle,england,premier-league
karl-darlow,Goalkeeper,england,29,190,79,Newcastle,england,premier-league
christian-atsu,Midtfielder,ghana,27,165,68,Newcastle,england,premier-league
achraf-lazaar,Defender,marokko,27,184,67,Newcastle,england,premier-league
sean-longstaff,Midtfielder,england,22,181,65,Newcastle,england,premier-league
matthew-longstaff,Midtfielder,england,19,-,-,Newcastle,england,premier-league
freddie-woodman,Goalkeeper,england,22,188,83,Newcastle,england,premier-league
jacob-murphy,Midtfielder,england,24,179,74,Newcastle,england,premier-league
henri-saivet,Attacker,senegal,29,174,73,Newcastle,england,premier-league
tom-heaton,Goalkeeper,england,33,188,85,Aston-Villa,england,premier-league
neil-taylor,Defender,wales,30,175,65,Aston-Villa,england,premier-league
james-chester,Defender,wales,30,177,75,Aston-Villa,england,premier-league
douglas-soares,Midtfielder,brasilien,21,178,66,Aston-Villa,england,premier-league
john-mcginn,Midtfielder,skotland,25,175,68,Aston-Villa,england,premier-league
henri-lansbury,Midtfielder,england,29,183,85,Aston-Villa,england,premier-league
wesley,Attacker,brasilien,22,192,93,Aston-Villa,england,premier-league
jack-grealish,Midtfielder,england,24,175,68,Aston-Villa,england,premier-league
marvelous-nakamba,Midtfielder,zimbabwe,25,175,70,Aston-Villa,england,premier-league
jed-steer,Goalkeeper,england,27,188,89,Aston-Villa,england,premier-league
conor-hourihane,Midtfielder,irland,28,181,62,Aston-Villa,england,premier-league
ezri-konsa,Defender,england,21,183,77,Aston-Villa,england,premier-league
trezeguet,Midtfielder,egypten,25,181,77,Aston-Villa,england,premier-league
matt-targett,Defender,england,24,183,70,Aston-Villa,england,premier-league
anwar-el-ghazi,Attacker,holland,24,189,87,Aston-Villa,england,premier-league
bjorn-engels,Defender,belgien,25,194,83,Aston-Villa,england,premier-league
jota,Midtfielder,spanien,28,180,67,Aston-Villa,england,premier-league
frederic-guilbert,Defender,frankrig,24,178,70,Aston-Villa,england,premier-league
oerjan-haaskjold-nyland,Goalkeeper,norge,29,192,78,Aston-Villa,england,premier-league
jonathan-kodjia,Attacker,elfenbenskysten,30,189,77,Aston-Villa,england,premier-league
ahmed-el-mohamady,Defender,egypten,32,183,76,Aston-Villa,england,premier-league
lovre-kalinic,Goalkeeper,kroatien,29,201,96,Aston-Villa,england,premier-league
kortney-hause,Defender,england,24,182,77,Aston-Villa,england,premier-league
callum-ohare,Attacker,england,21,-,-,Aston-Villa,england,premier-league
keinan-davis,Midtfielder,england,21,191,68,Aston-Villa,england,premier-league
tyrone-mings,Defender,england,26,191,80,Aston-Villa,england,premier-league
matija-sarkic,Goalkeeper,montenegro,22,192,76,Aston-Villa,england,premier-league
james-bree,Midtfielder,england,22,178,74,Aston-Villa,england,premier-league
andre-green,Midtfielder,england,21,180,71,Aston-Villa,england,premier-league
jacob-ramsey,Midtfielder,england,18,-,-,Aston-Villa,england,premier-league
scott-hogan,Attacker,irland,27,180,64,Aston-Villa,england,premier-league
rushian-hepburn-murphy,Attacker,england,21,178,81,Aston-Villa,england,premier-league
jordan-pickford,Goalkeeper,england,25,185,77,Everton,england,premier-league
mason-holgate,Defender,england,23,184,63,Everton,england,premier-league
leighton-baines,Defender,england,34,170,74,Everton,england,premier-league
michael-keane,Defender,england,26,191,82,Everton,england,premier-league
richarlison,Attacker,brasilien,22,179,71,Everton,england,premier-league
fabian-delph,Midtfielder,england,29,174,65,Everton,england,premier-league
dominic-calvert-lewin,Attacker,england,22,176,64,Everton,england,premier-league
gylfi-sigurdsson,Midtfielder,island,30,186,77,Everton,england,premier-league
theo-walcott,Attacker,england,30,176,68,Everton,england,premier-league
lucas-digne,Defender,frankrig,26,178,74,Everton,england,premier-league
yerry-mina,Defender,colombia,25,195,95,Everton,england,premier-league
cenk-tosun,Attacker,tyrkiet,28,183,78,Everton,england,premier-league
cuco-martina,Defender,curacao,30,185,72,Everton,england,premier-league
alex-iwobi,Attacker,nigeria,23,180,75,Everton,england,premier-league
morgan-schneiderlin,Midtfielder,frankrig,29,181,75,Everton,england,premier-league
baye-oumar-niasse,Attacker,senegal,29,182,75,Everton,england,premier-league
bernard,Midtfielder,brasilien,27,168,63,Everton,england,premier-league
andre-gomes,Midtfielder,portugal,26,188,84,Everton,england,premier-league
maarten-stekelenburg,Goalkeeper,holland,37,197,92,Everton,england,premier-league
seamus-coleman,Defender,irland,31,177,67,Everton,england,premier-league
jean-philippe-gbamin,Defender,elfenbenskysten,24,186,83,Everton,england,premier-league
tom-davies,Midtfielder,england,21,180,70,Everton,england,premier-league
moise-kean,Attacker,italien,19,182,72,Everton,england,premier-league
yannick-bolasie,Midtfielder,congo,30,188,84,Everton,england,premier-league
beni-baningime,Midtfielder,congo,21,178,70,Everton,england,premier-league
